tabela;label;modalidade;modalidade_sistema;situacao;orgao;orgao_id;data_publicacao;numero;numero_processo;ano;data_homologacao;data_abertura;data_fechamento;data_protocolo;data_julgamento;valor_estimado;valor_homologado;descricao;fundamento;covid;mp;lei_base;registro_preco;lembretes;orcamento_sigiloso;chave;modalidade_id;situacao_id;ocultar_modalidades;total;empenhos
licitacoes;000024/2026;Pregão Eletrônico;PREGÃO ELETRÔNICO RP;Aberta;FUNDO MUNICIPAL DE SAÚDE;3200;2026-06-08;000024;2026000252;2026;;2026-06-23 00:00:00;;;;260345.80;0.00;AQUISIÇÃO DE MATERIAIS DE ALMOXARIFADO (BATERIAS, CADEADOS, PILHAS E SIMILARES) PARA A REDE MUNICIPAL DE SAÚDE;;0;;;0;0;0;41401;13;1;;2129;False
licitacoes;000023/2026;Pregão Eletrônico;PREGÃO ELETRÔNICO RP;Aberta;SECRETARIA MUNICIPAL DE ZELADORIA URBANA;1900;2026-06-03;000023;2026002261;2026;;;;;;1408385.50;0.00;REGISTRO DE PREÇOS PARA A AQUISIÇÃO DE MATERIAIS DESTINADOS À MANUTENÇÃO, AMPLIAÇÃO, ADEQUAÇÃO E MODERNIZAÇÃO DOS SISTEMAS DE IRRIGAÇÃO DAS ÁREAS VERDES URBANAS DO MUNICÍPIO DE PALMAS/TO;;0;;;0;0;0;41362;13;1;;2129;False
licitacoes;000021/2026;Pregão Eletrônico;PREGÃO ELETRÔNICO RP;Aberta;SECRETARIA MUNICIPAL DA EDUCAÇÃO;2900;2026-06-01;000021;2026001238;2026;;2026-06-18 00:00:00;;;;140802.84;0.00;CONTRATAÇÃO FUTURA DE EMPRESA ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS DE LAVAGEM DE VEÍCULOS PARA ATENDER AS DEMANDAS DA SECRETARIA MUNICIPAL DA EDUCAÇÃO DE PALMAS;;0;;;0;0;0;41358;13;1;;2129;False
licitacoes;000020/2026;Pregão Eletrônico;PREGÃO ELETRÔNICO RP;Aberta;SECRETARIA MUNICIPAL DE INFRAESTRUTURA E SERVIÇOS PÚBLICOS;3500;2026-06-02;000020;2025007016;2026;;2026-06-18 00:00:00;;;;9906630.60;0.00;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE MATERIAIS BETUMINOSOS RL-1C, RR-2C E EAI;;0;;;0;0;0;41343;13;1;;2129;False
licitacoes;000019/2026;Pregão Eletrônico;PREGAO ELETRONICO;Homologada;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO RURAL;3300;2026-05-29;000019;2025007624;2026;2026-06-30;2026-06-16 00:00:00;;;;211330.56;138000.00;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO DE VEÍCULOS AUTOMOTORES, SEM MOTORISTA E SEM FORNECIMENTO DE COMBUSTÍVEL, COM MANUTENÇÃO CORRETIVA E PREVENTIVA INCLUSA, SEGURO TOTAL, E SUBSTITUIÇÃO DE VEÍCULOS EM CASO DE NECESSIDADE, PARA ATENDER AS DEMANDAS OPERACIONAIS RELACIONADAS AO CONVÊNIO Nº 827714/2016, CELEBRADO COM O MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO ? MDA;;0;;;0;0;0;41338;13;5;;2129;False
licitacoes;000018/2026;Pregão Eletrônico;PREGAO ELETRONICO;Aberta;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO RURAL;3300;2026-05-29;000018;2025009462;2026;;2026-06-08 00:00:00;;;;388854.12;0.00;AQUISIÇÃO DE INSUMOS PARA IMPLANTAÇÃO DE UNIDADES TÉCNICAS DEMONSTRATIVAS, DE ACORDO COM O PREVISTO NO PLANO DE TRABALHO DO CONVÊNIO Nº 827714/2016, CELEBRADO ENTRE A PREFEITURA MUNICIPAL DE PALMAS - TO E O MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO, OBJETIVANDO A OFERTA EFICIENTE DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL ? ATER AOS PRODUTORES RURAIS DO MUNICÍPIO;;0;;;0;0;0;41331;13;1;;2129;False
licitacoes;000017/2026;Pregão Eletrônico;PREGÃO ELETRÔNICO RP;Aberta;SECRETARIA MUNICIPAL DE INFRAESTRUTURA E SERVIÇOS PÚBLICOS;3500;2026-05-22;000017;2026000757;2026;;2026-06-08 00:00:00;;;;1133985.08;0.00;CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO, POR MEIO DE SISTEMA DE REGISTRO DE PREÇOS, DE AÇO, TELAS METÁLICAS E TUBOS, DESTINADOS AO ATENDIMENTO DAS DEMANDAS DE MANUTENÇÃO, ADEQUAÇÃO E RECUPERAÇÃO DE EQUIPAMENTOS PÚBLICOS E ESTRUTURAS DE INFRAESTRUTURA URBANA DO MUNICÍPIO DE PALMAS/TO, CONFORME NECESSIDADES DA SECRETARIA MUNICIPAL DE INFRAESTRUTURA E HABITAÇÃO - SEIHAB;;0;;;0;0;0;41274;13;1;;2129;False
licitacoes;000016/2026;Pregão Eletrônico;PREGAO ELETRONICO;Aberta;FUNDO MUNICIPAL DE SAÚDE;3200;2026-05-21;000016;2025008593;2026;;;;;;0.00;0.00;"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS CONTINUADOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA EM ELEVADORES INSTALADOS NAS UNIDADES DA REDE MUNICIPAL
DE SAÚDE DE PALMAS ? TO, INCLUINDO O FORNECIMENTO DE PEÇAS, INSUMOS E ATENDIMENTO EM CARÁTER DE URGÊNCIA E EMERGÊNCIA";;0;;;0;0;0;41271;13;1;;2129;False
licitacoes;000015/2026;Pregão Eletrônico;PREGÃO ELETRÔNICO RP;Aberta;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;5800;2026-05-14;000015;2026001289;2026;;;;;;0.00;0.00;"REGISTRO DE PREÇOS PARA A ESCOLHA DA PROPOSTA MAIS VANTAJOSA PARA FUTURA CONTRATAÇÃO DE EMPRESA PARA AQUISIÇÃO DE KITS NATALIDADE PARA CONCESSÃO COMO
BENEFÍCIO EVENTUAL DA POLÍTICA DE ASSISTÊNCIA SOCIAL, NA MODALIDADE AUXÍLIO-NATALIDADE, DESTINADO ÀS FAMÍLIAS EM SITUAÇÃO DE VULNERABILIDADE E/OU RISCO SOCIAL, 
ACOMPANHADAS PELA REDE SOCIOASSISTENCIAL DO MUNICÍPIO DE PALMAS-TO.";;0;;;0;0;0;41273;13;1;;2129;False
licitacoes;000014/2026;Pregão Eletrônico;PREGAO ELETRONICO;Homologada;SECRETARIA MUNICIPAL DE ZELADORIA URBANA;1900;2026-05-11;000014;2026001482;2026;2026-06-18;;;;;303346.66;253800.00;A AQUISIÇÃO DE UNIDADE MÓVEL DE PINTURA MECANIZADA URBANA (PINTURA DE MEIO-FIO) DA SECRETARIA MUNICIPAL DE ZELADORIA URBANA.;;0;;;0;0;0;41211;13;5;;2129;False
